Company,Inches,ScreenResolution,Cpu_Company,Ram_in_GB,Memory,OpSys,Price,ScreenType,Gpu_Model,Cpu_Model,Memory_Type,Company_freq,Ram_in_GB_freq,Inches_freq,Memory_freq,Gpu_Company_orig,Gpu_Company_Amd,Gpu_Company_Arm,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_freq,ScreenType_Full HD ,ScreenType_IPS Panel ,ScreenType_IPS Panel Full HD ,ScreenType_IPS Panel Quad HD,ScreenType_IPS Panel Retina Display ,ScreenType_IPS Panel Touchscreen ,ScreenType_QHD ,ScreenType_Quad HD,ScreenType_Regular,ScreenType_Touchscreen ,Gpu_Model_freq,ScreenResolution_freq
Dell,15.6,1920x1080,Intel,16,128GB,Windows 10,71874.72,IPS Panel Full HD ,GeForce GTX 1050 Ti,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,301,216,677,177,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,27,809
HP,15.6,1920x1080,Intel,8,256GB,Windows 10,37242.72,IPS Panel Full HD ,GeForce GTX 940MX,Core i7 8550U 1.8GHz,SSD,279,619,677,508,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,3,809
HP,15.6,1920x1080,Intel,8,256GB,Windows 10,31914.19,Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,279,619,677,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Asus,15.6,1920x1080,Intel,16,128GB,Windows 10,77202.72,IPS Panel Full HD ,GeForce GTX 1060,Core i7 7700HQ 2.8GHz,SSD +  1TB HDD,160,216,677,177,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,45,809
Dell,13.3,1920x1080,Intel,8,256GB,Windows 10,87858.72,IPS Panel Full HD ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD,301,619,164,508,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,68,809
Asus,15.6,1920x1080,AMD,8,1TB,Windows 10,37242.72,Full HD ,Radeon RX 560,FX 9830P 3GHz,HDD,160,619,677,260,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,1,809
Acer,15.6,1920x1080,Intel,8,1TB,Windows 10,36709.92,Full HD ,GeForce MX150,Core i7 8550U 1.8GHz,HDD,107,619,677,260,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,10,809
HP,13.3,1920x1080,Intel,16,512GB,Windows 10,63776.16,Full HD ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD,279,216,164,145,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,63669.6,Full HD ,GeForce GTX 1060,Core i5 7300HQ 2.5GHz,SSD,301,619,677,508,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,45,809
Asus,14.0,1920x1080,Intel,8,256GB,Windows 10,55890.72,Full HD ,HD Graphics 620,Core i7 7500U 2.7GHz,SSD,160,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
